Method Name,Key Risk Prevented,Source / Location,Equivalent Project,Description / Application,Type of Measure,Timing of Measure,Depth of Change,Governance and Actor Level,Implementation Readiness,Adaptability and Robustness,Spatial Scope,Cost-Benefit Complexity,Adaptation Function
National adaptation strategy and legally binding targets,Mixed,UK Government / CCC,National Adaptation Programme (NAP),Sets long-term national priorities and legal commitments to reduce climate risks across sectors.,Governance/institutional,Anticipatory,Transformational,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Integration of climate risk into policy appraisal,Mixed,HM Treasury (UK),Green Book Climate Guidance,Ensures all public investment and policy decisions account for current and future climate risks.,Governance/institutional,Anticipatory,Transformational,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Local authority adaptation plans,Mixed,Local Authorities (England),LLFA Flood Risk Strategies,Defines place-based actions by local governments to manage climate impacts and improve resilience.,Governance/institutional,Anticipatory,Incremental,Local authority,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Emergency response frameworks,Mixed,Civil Contingencies Secretariat,Incident Management Duty,Coordinates emergency services and agencies to respond effectively to extreme weather events.,Governance/institutional,Reactive,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Central climate data platforms,Mixed,Met Office / Defra (UK),UK Climate Projections (UKCP18),Provides shared access to consistent climate data for decision-making across organisations.,Knowledge and behavioural,Anticipatory,Transformational,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Digital twin modelling,Mixed,EA Humber Estuary,Humber Industrial Cluster Twin,Creates virtual replicas of systems to test climate impacts and adaptation options.,Knowledge and behavioural,Anticipatory,Transformational,National/multi-level,Developmental,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
GIS risk mapping,Mixed,Environment Agency (England),"""Check your long-term flood risk""",Maps spatial climate risks such as flooding or heat to support planning and intervention targeting.,Knowledge and behavioural,Anticipatory,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Post-event damage assessment systems,Mixed,Environment Agency (England),Post-Flood Asset Surveys,Uses data and tools to evaluate impacts after climate events and inform recovery.,Knowledge and behavioural,Reactive,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Tree planting (urban + rural),Mixed,Forestry Commission / Councils,Urban Catchment Partnerships / England Trees Action Plan,"Increases tree cover in cities to reduce heat, manage water, and improve air quality. Planting trees to sequester carbon, provide shade, and manage water.",Ecosystem (nature-based),Anticipatory,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Direct Adaptation Action
Wetlands (creation + restoration),Flooding,Environment Agency (England) / NGOs,Medmerry Managed Realignment / Nature Recovery Network,"Restores wetlands to store floodwater, improve biodiversity, and enhance natural resilience. Creating new wetland areas to store water and support wildlife.",Ecosystem (nature-based),Anticipatory,Transformational,National/multi-level,Developmental,Flexible/modular,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
Peatland restoration,Mixed,Defra / Natural England,England Peat Action Plan,"Rewets degraded peatlands to reduce emissions, store water, and limit wildfire risk.",Ecosystem (nature-based),Anticipatory,Transformational,National/multi-level,Developmental,Flexible/modular,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
Natural flood management (incl. floodplain reconnection),Flooding,Environment Agency (England),Working with Natural Processes,Using natural landscape features to slow water flow and reduce flood risk. Reconnects rivers to their natural floodplains to reduce downstream flood risk.,Ecosystem (nature-based),Anticipatory,Transformational,National/multi-level,Developmental,Flexible/modular,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
Urban greening (trees + roofs),Mixed,Local Authorities / Local Planning Authorities,Green Infrastructure Framework / SuDS Planning Advice,"Increasing vegetation in urban areas to combat the urban heat island effect. Installs vegetated roofs to absorb rainfall, reduce heat, and improve urban microclimates.",Ecosystem (nature-based),Anticipatory,Incremental,Local authority,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
Post-flood habitat restoration,Flooding,Environment Agency (England),Environmental Recovery Schemes,Repairs natural habitats damaged by flooding to restore ecosystem services.,Ecosystem (nature-based),Reactive,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Engineered flood defences (asset-level),Flooding,Environment Agency (England),Capital Flood Defence Schemes,Large-scale infrastructure to protect against river and coastal flooding. Physical barriers designed to prevent floodwaters from inundating land and property.,Physical/technological,Anticipatory,Incremental,National/multi-level,Shovel-ready,Locked-in/fixed,Catchment/system-wide,Directly Quantifiable,Direct Adaptation Action
Engineered flood defences (system-level),Flooding,Environment Agency (England),Capital Flood Defence Schemes / Thames Barrier / Boston Barrier,Large-scale infrastructure to protect against river and coastal flooding. Large-scale infrastructure to control sea surges and protect coastal areas.,Physical/technological,Anticipatory,Transformational,National/multi-level,Shovel-ready,Locked-in/fixed,Catchment/system-wide,Directly Quantifiable,Direct Adaptation Action
Reservoir expansion,Drought,Water Companies (England),Water Resources Management Plans,Increases water storage capacity to manage drought and supply variability.,Physical/technological,Anticipatory,Transformational,National/multi-level,Developmental,Locked-in/fixed,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
Drainage upgrades,Flooding,Water Companies / Highways UK,Sewerage Risk Management,Enhances drainage networks to cope with increased rainfall intensity.,Physical/technological,Anticipatory,Incremental,National/multi-level,Shovel-ready,Locked-in/fixed,Catchment/system-wide,Directly Quantifiable,Direct Adaptation Action
Rebuilding to higher standards,Mixed,Environment Agency (England),"""Build Back Better"" Asset Repair",Reconstructs infrastructure and buildings to improved resilience standards after damage.,Physical/technological,Reactive,Incremental,National/multi-level,Shovel-ready,Locked-in/fixed,Site-Specific,Complex/intangible,Direct Adaptation Action
Flood sensors,Flooding,Environment Agency (England),Hydrometry & Telemetry Network,Monitors water levels in real time to provide early warnings of flooding.,Physical/technological,Anticipatory,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Automated flood gates,Flooding,Environment Agency (England),Active Asset SCADA Control,Deploys gates that respond automatically to rising water levels to reduce risk.,Physical/technological,Anticipatory,Transformational,National/multi-level,Shovel-ready,Locked-in/fixed,Site-Specific,Complex/intangible,Direct Adaptation Action
Resilient materials,Mixed,DLUHC / BRE (UK),UK Building Regulations,"Uses construction materials designed to withstand heat, moisture, and extreme weather.",Physical/technological,Anticipatory,Transformational,National/multi-level,Shovel-ready,Locked-in/fixed,Site-Specific,Complex/intangible,Direct Adaptation Action
Heat-resistant roads,Heat,National Highways,Strategic Road Network Strategy,Applies materials and designs that reduce road damage during high temperatures.,Physical/technological,Anticipatory,Incremental,National/multi-level,Shovel-ready,Locked-in/fixed,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
Rapid repair technology,Mixed,Environment Agency (England),High-Volume Mobile Pumps,Uses innovative techniques to quickly restore infrastructure after climate damage.,Physical/technological,Reactive,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Heatwave awareness,Heat,UKHSA / NHS,Weather-Health Alerting System,Educates the public on risks and protective actions during extreme heat events.,Knowledge and behavioural,Anticipatory,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Community flood groups,Flooding,Environment Agency (England),Community Flood Wardens,Organises local communities to prepare for and respond to flood risks.,Knowledge and behavioural,Anticipatory,Incremental,Local authority,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Insurance incentives,Flooding,Insurance Sector / Flood Re,"Flood Re ""Build Back Better""",Encourages resilience measures through risk-based pricing and financial rewards.,Economic/financial,Anticipatory,Transformational,Household/private sector,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Water conservation programs,Drought,Water Companies / EA,Per Capita Consumption Targets,Promotes efficient water use to reduce demand during drought conditions.,Knowledge and behavioural,Anticipatory,Incremental,Household/private sector,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Emergency shelters,Mixed,Local Authorities (England),Local Resilience Forums (LRFs),Provides safe spaces for people displaced or affected during extreme events.,Physical/technological,Reactive,Incremental,Local authority,Shovel-ready,Flexible/modular,Site-Specific,Complex/intangible,Direct Adaptation Action
"Passive cooling (shading, shutters, ventilation)",Heat,General / Built Environment,Building Regulations,Uses non-mechanical methods to maintain comfortable indoor temperatures.,Physical/technological,Anticipatory,Incremental,Household/private sector,Shovel-ready,Flexible/modular,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Active cooling (air conditioning),Heat,General / Built Environment,Part O Building Regulations,Uses mechanical systems to cool indoor spaces.,Physical/technological,Anticipatory,Incremental,Household/private sector,Shovel-ready,Locked-in/fixed,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Heat pumps with cooling,Heat,General / Built Environment,Boiler Upgrade Scheme,Reversible heat pumps that provide both heating and cooling.,Physical/technological,Anticipatory,Transformational,Household/private sector,Shovel-ready,Locked-in/fixed,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Retrofit cooling in existing homes,Heat,General / Built Environment,Social Housing Decarbonisation Fund,Upgrading existing housing stock to reduce overheating risks.,Physical/technological,Anticipatory,Transformational,Household/private sector,Shovel-ready,Locked-in/fixed,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Design new buildings for overheating,Heat,DLUHC / BRE (UK),Future Homes Standard,Incorporating overheating mitigation in new building designs.,Governance/institutional,Anticipatory,Transformational,National/multi-level,Shovel-ready,Locked-in/fixed,Site-Specific,Complex/intangible,Adaptive Capacity Building
Cool rooms in homes,Heat,General / Built Environment,Overheating guidance (Part O),Designating and modifying specific rooms to remain cool during heatwaves.,Physical/technological,Anticipatory,Incremental,Household/private sector,Shovel-ready,Flexible/modular,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Public cooling centres,Heat,Local Authorities,LRF Heatwave Plans,Providing air-conditioned public spaces during extreme heat events.,Physical/technological,Reactive,Incremental,Local authority,Shovel-ready,Flexible/modular,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Preventative healthcare visits,Heat,NHS / UKHSA,Weather-Health Alerting System,Proactive health checks for vulnerable individuals during heatwaves.,Knowledge and behavioural,Anticipatory,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Workplace temperature regulations,Heat,HSE (UK),HSE Workplace Temperature,Establishing legal maximum workplace temperatures to protect workers.,Governance/institutional,Anticipatory,Transformational,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Sustainable drainage systems,Flooding,Local Planning Authorities,SuDS Planning Advice,Managing surface water runoff using natural or engineered permeable features.,Physical/technological,Anticipatory,Transformational,Local authority,Shovel-ready,Locked-in/fixed,Catchment/system-wide,Directly Quantifiable,Direct Adaptation Action
Permeable urban surfaces,Flooding,Local Authorities,Surface Water Management Plans,Replacing impermeable paving with materials that allow water infiltration.,Physical/technological,Anticipatory,Incremental,Local authority,Shovel-ready,Locked-in/fixed,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Flood doors and barriers,Flooding,Property Owners,Property Flood Resilience (PFR),Installing physical barriers on properties to prevent floodwater entry.,Physical/technological,Anticipatory,Incremental,Household/private sector,Shovel-ready,Flexible/modular,Site-Specific,Directly Quantifiable,Direct Adaptation Action
One-way valves and pipe protections,Flooding,Property Owners / Water Companies,Property Flood Resilience (PFR),Preventing sewage backflow into properties during flood events.,Physical/technological,Anticipatory,Incremental,Household/private sector,Shovel-ready,Locked-in/fixed,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Avoid development in flood zones,Flooding,Local Planning Authorities,National Planning Policy Framework,Restricting new construction in areas at high risk of flooding.,Governance/institutional,Anticipatory,Transformational,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Early warning systems,Mixed,Environment Agency / Met Office,Flood Warning Service,Forecasting and alerting the public about impending extreme weather.,Knowledge and behavioural,Anticipatory,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Managed retreat/relocation,Flooding,Environment Agency / Local Authorities,Coastal Erosion Risk Management,Planned relocation of communities and infrastructure away from vulnerable areas.,Governance/institutional,Anticipatory,Transformational,National/multi-level,Developmental,Locked-in/fixed,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
Water transfers,Drought,Water Companies (England),Water Resources Management Plans,Moving water from areas of surplus to areas of deficit.,Physical/technological,Anticipatory,Transformational,National/multi-level,Developmental,Locked-in/fixed,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
Rainwater harvesting,Drought,Property Owners,Water Efficiency Standards,Collecting and storing rainwater for non-potable uses.,Physical/technological,Anticipatory,Incremental,Household/private sector,Shovel-ready,Flexible/modular,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Leakage reduction,Drought,Water Companies (England),Ofwat PR24,Repairing and upgrading water networks to minimise water loss.,Physical/technological,Anticipatory,Transformational,National/multi-level,Shovel-ready,Locked-in/fixed,Catchment/system-wide,Directly Quantifiable,Direct Adaptation Action
Smart water metering,Drought,Water Companies (England),Water Resources Management Plan (WRMP),Installing advanced meters to track usage and identify leaks.,Physical/technological,Anticipatory,Incremental,Household/private sector,Shovel-ready,Locked-in/fixed,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Water efficiency behaviour change,Drought,Water Companies / EA,Per Capita Consumption Targets,Campaigns to encourage the public to use less water.,Knowledge and behavioural,Anticipatory,Incremental,Household/private sector,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Habitat restoration,Mixed,Natural England / NGOs,Nature Recovery Network,Restoring - or enhancing (forward looking) - degraded ecosystems to enhance biodiversity and resilience.,Ecosystem (nature-based),Anticipatory,Transformational,National/multi-level,Developmental,Flexible/modular,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
Biodiversity corridors,Mixed,Natural England,Local Nature Recovery Strategies,Connecting fragmented habitats to allow species migration.,Ecosystem (nature-based),Anticipatory,Transformational,National/multi-level,Developmental,Flexible/modular,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
Soil management,Mixed,Defra,Sustainable Farming Incentive,Improving soil health to increase water retention and prevent erosion.,Ecosystem (nature-based),Anticipatory,Incremental,Household/private sector,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Direct Adaptation Action
Wildfire management,Heat,Fire and Rescue Services,Fire and Rescue Strategy,"Strategies to prevent and control wildfires, including controlled burns.",Governance/institutional,Reactive,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
Crop diversification,Mixed,Farmers,Sustainable Farming Incentive (SFI),Growing a wider variety of crops to spread climate risks.,Economic/financial,Anticipatory,Transformational,Household/private sector,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Direct Adaptation Action
Switch to climate-suited crops,Mixed,Farmers,Farming Innovation Programme,Transitioning to crop varieties more resilient to heat and drought.,Economic/financial,Anticipatory,Transformational,Household/private sector,Developmental,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Direct Adaptation Action
Precision irrigation,Drought,Farmers,Water Management Grant,Using technology to deliver water exactly when and where crops need it.,Physical/technological,Anticipatory,Incremental,Household/private sector,Shovel-ready,Locked-in/fixed,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Soil conservation,Mixed,Farmers / Defra,Environmental Land Management Schemes,Practices like no-till farming to prevent soil degradation.,Ecosystem (nature-based),Anticipatory,Incremental,Household/private sector,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Direct Adaptation Action
On-farm water storage,Drought,Farmers,Water Management Grant,Building reservoirs on farms to secure water supply during dry periods.,Physical/technological,Anticipatory,Transformational,Household/private sector,Shovel-ready,Locked-in/fixed,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Farmer training and subsidies,Mixed,Defra,Farming Investment Fund,Financial and educational support for farmers to adopt resilient practices.,Economic/financial,Anticipatory,Transformational,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Supply chain diversification,Mixed,Food Retailers,Defra Food Security Report,Sourcing food from multiple regions to reduce vulnerability to local shocks.,Economic/financial,Anticipatory,Transformational,Household/private sector,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Food stockpiling,Mixed,Government / Retailers,National Food Strategy,Maintaining reserves of essential food items for emergencies.,Governance/institutional,Anticipatory,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Direct Adaptation Action
Cold chain resilience,Heat,Logistics Companies,Food Supply Chain Resilience,Upgrading refrigeration transport to withstand extreme heat.,Physical/technological,Anticipatory,Incremental,Household/private sector,Shovel-ready,Locked-in/fixed,Catchment/system-wide,Directly Quantifiable,Direct Adaptation Action
Reduce food waste,Mixed,Consumers / Retailers,Courtauld Commitment,Minimising food loss to reduce pressure on the food system.,Knowledge and behavioural,Anticipatory,Transformational,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Support vulnerable households,Mixed,Government / NGOs,Household Support Fund,Providing financial or food assistance to those most affected by shocks.,Economic/financial,Reactive,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Climate-resilient design standards,Mixed,"Professional Bodies (e.g., ICE)",BSI Climate Standards,Updating engineering standards to account for future climate conditions.,Governance/institutional,Anticipatory,Transformational,National/multi-level,Developmental,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Retrofitting assets,Mixed,Infrastructure Operators,National Infrastructure Strategy,Upgrading existing infrastructure to improve climate resilience.,Physical/technological,Anticipatory,Transformational,Household/private sector,Shovel-ready,Locked-in/fixed,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Elevating critical equipment,Flooding,Infrastructure Operators,CNI Resilience Framework,Raising electrical and mechanical systems above flood levels.,Physical/technological,Anticipatory,Incremental,Household/private sector,Shovel-ready,Locked-in/fixed,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Cooling infrastructure,Heat,Transport Operators,Transport Resilience Review,Installing cooling systems for rail networks and other critical assets.,Physical/technological,Anticipatory,Incremental,Household/private sector,Shovel-ready,Locked-in/fixed,Catchment/system-wide,Directly Quantifiable,Direct Adaptation Action
Proactive maintenance,Mixed,Infrastructure Operators,CNI Resilience Framework,Increasing maintenance frequency to prevent climate-related failures.,Governance/institutional,Anticipatory,Incremental,Household/private sector,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
System redundancy,Mixed,Infrastructure Operators,CNI Resilience Framework,Building backup systems to ensure continuity if primary assets fail.,Physical/technological,Anticipatory,Transformational,Household/private sector,Developmental,Locked-in/fixed,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
Cross-sector coordination,Mixed,Government / Operators,Infrastructure Operators Adaptation Forum,Collaborating across sectors to manage cascading climate risks.,Governance/institutional,Anticipatory,Transformational,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Cooling for data centres,Heat,Tech Companies,National Data Strategy,Enhancing cooling capacity to prevent data centre outages during heatwaves.,Physical/technological,Anticipatory,Incremental,Household/private sector,Shovel-ready,Locked-in/fixed,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Backup power systems,Mixed,Telecoms / Tech Companies,Telecoms Security Act,Installing generators or batteries to maintain operations during blackouts.,Physical/technological,Anticipatory,Incremental,Household/private sector,Shovel-ready,Locked-in/fixed,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Network redundancy,Mixed,Telecoms Providers,Telecoms Security Act,Designing communication networks with multiple routing options.,Physical/technological,Anticipatory,Transformational,Household/private sector,Developmental,Locked-in/fixed,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
Climate-proof hospitals and schools,Mixed,NHS / DfE,DfE Climate Change Strategy / Greener NHS,Upgrading public buildings to withstand extreme weather events.,Physical/technological,Anticipatory,Transformational,National/multi-level,Shovel-ready,Locked-in/fixed,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Emergency response upgrades,Mixed,Emergency Services,National Resilience Framework,Investing in better equipment and training for climate-related emergencies.,Governance/institutional,Reactive,Transformational,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Scenario training,Mixed,Local Resilience Forums,National Resilience Framework,Conducting exercises to prepare for severe climate impact scenarios.,Knowledge and behavioural,Anticipatory,Incremental,Local authority,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Community preparedness,Mixed,Local Authorities / NGOs,Community Resilience Framework,Educating and equipping communities to respond to local climate risks.,Knowledge and behavioural,Anticipatory,Incremental,Local authority,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Landfill flood protection,Flooding,Environment Agency / Operators,EA Waste Permitting,Securing landfill sites to prevent pollution during flood events.,Physical/technological,Anticipatory,Transformational,National/multi-level,Shovel-ready,Locked-in/fixed,Site-Specific,Complex/intangible,Direct Adaptation Action
Landfill drainage and stabilisation,Flooding,Waste Operators,EA Waste Permitting,Improving drainage at waste sites to prevent landslides and leaching.,Physical/technological,Anticipatory,Incremental,Household/private sector,Shovel-ready,Locked-in/fixed,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Landfill monitoring systems,Mixed,Environment Agency,EA Environmental Monitoring,Deploying sensors to track environmental conditions at waste facilities.,Physical/technological,Anticipatory,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Site-Specific,Directly Quantifiable,Adaptive Capacity Building
Marine protected areas,Mixed,Defra / JNCC,UK Marine Strategy,Designating ocean areas to protect marine ecosystems from stressors.,Governance/institutional,Anticipatory,Transformational,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
Flexible fisheries quotas,Mixed,Defra,Joint Fisheries Statement,Adapting fishing limits based on climate-driven shifts in fish populations.,Governance/institutional,Anticipatory,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Resilient aquaculture,Mixed,Aquaculture Industry,UK Seafood Fund,Developing farming practices that can withstand changing ocean conditions.,Physical/technological,Anticipatory,Transformational,Household/private sector,Developmental,Flexible/modular,Site-Specific,Directly Quantifiable,Direct Adaptation Action
Flood Re reform,Flooding,Defra / Flood Re,Flood Re Transition Plan,Evolving the flood insurance scheme to incentivize resilience.,Economic/financial,Anticipatory,Transformational,National/multi-level,Developmental,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Risk pooling,Mixed,Insurance Sector,ClimateWise,Spreading climate risks across a wider group to maintain affordability.,Economic/financial,Anticipatory,Transformational,Household/private sector,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Premium incentives for resilience,Mixed,Insurance Sector,ClimateWise,Offering lower insurance premiums for properties with adaptation measures.,Economic/financial,Anticipatory,Incremental,Household/private sector,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Adaptation targets and metrics,Mixed,UK Government / CCC,CCC Adaptation Progress Report,Establishing clear goals and indicators to measure adaptation progress.,Governance/institutional,Anticipatory,Transformational,National/multi-level,Developmental,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Monitoring frameworks,Mixed,UK Government / Defra,NAP3 Monitoring and Evaluation Framework,Systems for tracking the implementation and effectiveness of adaptation.,Governance/institutional,Anticipatory,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Public-private funding,Mixed,Government / Finance Sector,Green Finance Strategy,Mobilising private capital to fund large-scale adaptation projects.,Economic/financial,Anticipatory,Transformational,National/multi-level,Developmental,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Cross-sector coordination frameworks,Mixed,Government,National Resilience Framework,Formal structures to ensure aligned adaptation efforts across society.,Governance/institutional,Anticipatory,Transformational,National/multi-level,Developmental,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
,,,,,,,,,,,,,
,,,,,,,,,,,,0,